questions,answers,questions_with_answers,entity,image_ids
RT @LFC : #LFC can confirm that Steven Gerrard is to leave the club at the end of the 2014-15 season #LFCicon http://t.co/an6AjmFgvE Which word(s) correspond to the organization in the sentence? ,#LFC,RT @LFC : #LFC can confirm that Steven Gerrard is to leave the club at the end of the 2014-15 season #LFCicon http://t.co/an6AjmFgvE Which word(s) correspond to the organization in the sentence? Answer: #LFC,organization,268501.jpg
"RT @JimBeam : Egypt has pyramids , we have rackhouses . Visit the Jim Beam American Stillhouse http://t.co/2tvkUNKPJi http://t.co/dOro4Misls Which word(s) correspond to the location in the sentence? ",Egypt,"RT @JimBeam : Egypt has pyramids , we have rackhouses . Visit the Jim Beam American Stillhouse http://t.co/2tvkUNKPJi http://t.co/dOro4Misls Which word(s) correspond to the location in the sentence? Answer: Egypt",location,151567.jpg
RT @NBABeLike : Paul Pierce be like http://t.co/6ZO3Knr17s Which word(s) correspond to the person in the sentence? ,Paul Pierce,RT @NBABeLike : Paul Pierce be like http://t.co/6ZO3Knr17s Which word(s) correspond to the person in the sentence? Answer: Paul Pierce,person,12609.jpg
RT @UNEP : Ahead of World Water Week : http://t.co/TUc4rnLii5 Water for development. http://t.co/hfYa99IvqS Which word(s) correspond to the misceallonous entity in the sentence? ,World Water Week Water,RT @UNEP : Ahead of World Water Week : http://t.co/TUc4rnLii5 Water for development. http://t.co/hfYa99IvqS Which word(s) correspond to the misceallonous entity in the sentence? Answer: World Water Week Water,misceallonous entity,140364.jpg
"RT @ajam : Charleston church re-opens after shooting , amid nationwide mourning http://t.co/uYRiu5O4mY via @tomkutsch http://t.co/5vUNiaAmPT Which word(s) correspond to the misceallonous entity in the sentence? ",Charleston church,"RT @ajam : Charleston church re-opens after shooting , amid nationwide mourning http://t.co/uYRiu5O4mY via @tomkutsch http://t.co/5vUNiaAmPT Which word(s) correspond to the misceallonous entity in the sentence? Answer: Charleston church",misceallonous entity,15424.jpg
RT @JonMatthewsDS : Driving test Leicester Jon Matthews Driving School : http://t.co/Zf0tOasjUE http://t.co/IXiIgDVmPu Which word(s) correspond to the organization in the sentence? ,Leicester School Driving Matthews Jon,RT @JonMatthewsDS : Driving test Leicester Jon Matthews Driving School : http://t.co/Zf0tOasjUE http://t.co/IXiIgDVmPu Which word(s) correspond to the organization in the sentence? Answer: Leicester School Driving Matthews Jon,organization,213820.jpg
At University of Swat . These snaps r from the VC office which include the Master plan . A great location 4 new campus http://t.co/PhpEuyDpzV Which word(s) correspond to the organization in the sentence? ,University Swat of,At University of Swat . These snaps r from the VC office which include the Master plan . A great location 4 new campus http://t.co/PhpEuyDpzV Which word(s) correspond to the organization in the sentence? Answer: University Swat of,organization,323182.jpg
RT @YepillPosts : REMEMBER MIGUEL BROKE THAT GIRL NECK LMAO http://t.co/2bjyst1NMu Which word(s) correspond to the person in the sentence? ,MIGUEL,RT @YepillPosts : REMEMBER MIGUEL BROKE THAT GIRL NECK LMAO http://t.co/2bjyst1NMu Which word(s) correspond to the person in the sentence? Answer: MIGUEL,person,750200.jpg
RT @alphabetsuccess : In Living Color by Pena Salehi https : //t . co/lRHsQF68In http://t.co/5MINWNxroH Which word(s) correspond to the person in the sentence? ,Pena Salehi,RT @alphabetsuccess : In Living Color by Pena Salehi https : //t . co/lRHsQF68In http://t.co/5MINWNxroH Which word(s) correspond to the person in the sentence? Answer: Pena Salehi,person,282116.jpg
@PerSources14 Gregg Popovich was asked about Becky Hammon and the social progress the NBA has made . Via : @SBNationNBA http://t.co/sJr1QQoGhR Which word(s) correspond to the person in the sentence? ,Gregg Popovich,@PerSources14 Gregg Popovich was asked about Becky Hammon and the social progress the NBA has made . Via : @SBNationNBA http://t.co/sJr1QQoGhR Which word(s) correspond to the person in the sentence? Answer: Gregg Popovich,person,12615.jpg
"RT @femalemodelsbot : Abbey Lee Kershaw ( Australian model , born in 1987 ) for Vogue China May 2012 http://t.co/xluMSG10i0 Which word(s) correspond to the person in the sentence? ",Abbey Kershaw Lee,"RT @femalemodelsbot : Abbey Lee Kershaw ( Australian model , born in 1987 ) for Vogue China May 2012 http://t.co/xluMSG10i0 Which word(s) correspond to the person in the sentence? Answer: Abbey Kershaw Lee",person,10964.jpg
RT @WiredUK : Minecraft creator Notch says his billions have made him miserable http://t.co/wMnoZp2hLv http://t.co/iUogGT6d3N Which word(s) correspond to the misceallonous entity in the sentence? ,Minecraft,RT @WiredUK : Minecraft creator Notch says his billions have made him miserable http://t.co/wMnoZp2hLv http://t.co/iUogGT6d3N Which word(s) correspond to the misceallonous entity in the sentence? Answer: Minecraft,misceallonous entity,856183.jpg
RT @FindMyBikeYYC : Is this your frame ? Found near the elbow river in Stanley park . http://t.co/gAo5XJ07z3 Which word(s) correspond to the location in the sentence? ,Stanley park,RT @FindMyBikeYYC : Is this your frame ? Found near the elbow river in Stanley park . http://t.co/gAo5XJ07z3 Which word(s) correspond to the location in the sentence? Answer: Stanley park,location,1482819.jpg
RT @Telegraph : What happened at the very first #Oscars in 1929 . @MartinChilton reports http://t.co/z71lDu0SDc http://t.co/4iFCdMBnwO Which word(s) correspond to the misceallonous entity in the sentence? ,#Oscars,RT @Telegraph : What happened at the very first #Oscars in 1929 . @MartinChilton reports http://t.co/z71lDu0SDc http://t.co/4iFCdMBnwO Which word(s) correspond to the misceallonous entity in the sentence? Answer: #Oscars,misceallonous entity,859931.jpg
Claude Richmond has a smart way to fix the Senate . His column today in NewsKamloops . http://t.co/1XpNbERcI5 http://t.co/IffI1moyQA Which word(s) correspond to the person in the sentence? ,Claude Richmond,Claude Richmond has a smart way to fix the Senate . His column today in NewsKamloops . http://t.co/1XpNbERcI5 http://t.co/IffI1moyQA Which word(s) correspond to the person in the sentence? Answer: Claude Richmond,person,627764.jpg
Cristo Redentor versus Spirito #Dynamo ! http://t.co/WOHFESmqM2 Which word(s) correspond to the location in the sentence? ,Cristo Redentor,Cristo Redentor versus Spirito #Dynamo ! http://t.co/WOHFESmqM2 Which word(s) correspond to the location in the sentence? Answer: Cristo Redentor,location,1061636.jpg
"RT @TheFix : Aqua Buddha , never forget . http://t.co/sQUUIlsXDw http://t.co/XgmFM5Xm4D Which word(s) correspond to the person in the sentence? ",Aqua Buddha,"RT @TheFix : Aqua Buddha , never forget . http://t.co/sQUUIlsXDw http://t.co/XgmFM5Xm4D Which word(s) correspond to the person in the sentence? Answer: Aqua Buddha",person,117075.jpg
RT @steventurous : This Pluto image is really stunning . http://t.co/P3bJN0v46h Which word(s) correspond to the misceallonous entity in the sentence? ,Pluto,RT @steventurous : This Pluto image is really stunning . http://t.co/P3bJN0v46h Which word(s) correspond to the misceallonous entity in the sentence? Answer: Pluto,misceallonous entity,1486617.jpg
RT @Cheekfinneser : When meek mills hear Nicki talking about back to back http://t.co/97KIWgrO9y Which word(s) correspond to the person in the sentence? ,meek mills,RT @Cheekfinneser : When meek mills hear Nicki talking about back to back http://t.co/97KIWgrO9y Which word(s) correspond to the person in the sentence? Answer: meek mills,person,369143.jpg
RT @The _ Millions : Ebook find of the day : CASE HISTORIES by Kate Atkinson for $ 2 . 99 http://t.co/WNKFhyoyC8 http://t.co/rmm5fPeD5S Which word(s) correspond to the misceallonous entity in the sentence? ,CASE HISTORIES,RT @The _ Millions : Ebook find of the day : CASE HISTORIES by Kate Atkinson for $ 2 . 99 http://t.co/WNKFhyoyC8 http://t.co/rmm5fPeD5S Which word(s) correspond to the misceallonous entity in the sentence? Answer: CASE HISTORIES,misceallonous entity,23954.jpg
"RT @nycsouthpaw : Sophie , Duchess of Hohenburg , was murdered with husband in Sarajevo 100 years ago today . http://t.co/5FTUWuSlan Which word(s) correspond to the person in the sentence? ",Sophie,"RT @nycsouthpaw : Sophie , Duchess of Hohenburg , was murdered with husband in Sarajevo 100 years ago today . http://t.co/5FTUWuSlan Which word(s) correspond to the person in the sentence? Answer: Sophie",person,1495458.jpg
"RT @artoftheserpent : Simon Prades , Sunday Afternoons Feelings . http://t.co/Kz9FeYVfnI Which word(s) correspond to the person in the sentence? ",Simon Prades,"RT @artoftheserpent : Simon Prades , Sunday Afternoons Feelings . http://t.co/Kz9FeYVfnI Which word(s) correspond to the person in the sentence? Answer: Simon Prades",person,65245.jpg
Germany greets refugees with help and kindness at Munich central station http://t.co/ZUpeDOJDZB http://t.co/n6Ak5WJNo2 Which word(s) correspond to the location in the sentence? ,Germany,Germany greets refugees with help and kindness at Munich central station http://t.co/ZUpeDOJDZB http://t.co/n6Ak5WJNo2 Which word(s) correspond to the location in the sentence? Answer: Germany,location,113422.jpg
RT @Lakers : Big Roy getting in some #LakersWork with @tdathletesedge before meeting with the media . http://t.co/x0JlxVPJod Which word(s) correspond to the person in the sentence? ,Roy,RT @Lakers : Big Roy getting in some #LakersWork with @tdathletesedge before meeting with the media . http://t.co/x0JlxVPJod Which word(s) correspond to the person in the sentence? Answer: Roy,person,534625.jpg
Such tragedy of a young 17 year old who lost her life at the Sandia Crest in #ABQ http://t.co/Qze8ts6pt3 http://t.co/FTd8M5JyBL Which word(s) correspond to the location in the sentence? ,Sandia Crest,Such tragedy of a young 17 year old who lost her life at the Sandia Crest in #ABQ http://t.co/Qze8ts6pt3 http://t.co/FTd8M5JyBL Which word(s) correspond to the location in the sentence? Answer: Sandia Crest,location,1113803.jpg
RT @Colorlines : Langston Hughes Warned Us About Trolls Like Don Lemon http://t.co/v7wCoM5Osx http://t.co/DwOV6lKu8r Which word(s) correspond to the person in the sentence? ,Langston Hughes,RT @Colorlines : Langston Hughes Warned Us About Trolls Like Don Lemon http://t.co/v7wCoM5Osx http://t.co/DwOV6lKu8r Which word(s) correspond to the person in the sentence? Answer: Langston Hughes,person,15272.jpg
"RT @EarthPics _ HD : Silver Falls , Oregon http://t.co/RulgE3iCWT Which word(s) correspond to the location in the sentence? ",Silver Falls,"RT @EarthPics _ HD : Silver Falls , Oregon http://t.co/RulgE3iCWT Which word(s) correspond to the location in the sentence? Answer: Silver Falls",location,65565.jpg
Morning coffee before I go watch Pacific Rim . . . . . # excited . . . http://t.co/l8E2wEZWUR Which word(s) correspond to the misceallonous entity in the sentence? ,Pacific Rim,Morning coffee before I go watch Pacific Rim . . . . . # excited . . . http://t.co/l8E2wEZWUR Which word(s) correspond to the misceallonous entity in the sentence? Answer: Pacific Rim,misceallonous entity,869732.jpg
RT @TelegraphNews : Jamie Oliver snaps up new multi-million pound mansion in Hampstead http://t.co/6FMNm71TUD http://t.co/j0hSfF1zlV Which word(s) correspond to the person in the sentence? ,Jamie Oliver,RT @TelegraphNews : Jamie Oliver snaps up new multi-million pound mansion in Hampstead http://t.co/6FMNm71TUD http://t.co/j0hSfF1zlV Which word(s) correspond to the person in the sentence? Answer: Jamie Oliver,person,995927.jpg
@mchlkf because the world is tired of Daniel Craig . We need a new James Bond . 007 with robot legs is more relatable http://t.co/ud6prcT5yR Which word(s) correspond to the person in the sentence? ,Daniel Craig,@mchlkf because the world is tired of Daniel Craig . We need a new James Bond . 007 with robot legs is more relatable http://t.co/ud6prcT5yR Which word(s) correspond to the person in the sentence? Answer: Daniel Craig,person,971737.jpg
"In honor of #EMS week , Henry Ford West Bloomfield Hospital president @lmtoros &amp ; the ER Team visited local firehouses . http://t.co/X6NwVeS82T Which word(s) correspond to the organization in the sentence? ",#EMS,"In honor of #EMS week , Henry Ford West Bloomfield Hospital president @lmtoros &amp ; the ER Team visited local firehouses . http://t.co/X6NwVeS82T Which word(s) correspond to the organization in the sentence? Answer: #EMS",organization,556964.jpg
News : IPC President Sir Philip Craven named @SportsBusiness Innovator of the Year http://t.co/UPbsJYP5Hq http://t.co/xPVoeZeUO9 Which word(s) correspond to the organization in the sentence? ,IPC,News : IPC President Sir Philip Craven named @SportsBusiness Innovator of the Year http://t.co/UPbsJYP5Hq http://t.co/xPVoeZeUO9 Which word(s) correspond to the organization in the sentence? Answer: IPC,organization,689063.jpg
RT @HockeyAlberta : Team Alberta Male Honourary Captain Joe Colborne speaking to the players in attendance ! #CWG http://t.co/sGLxePDaSv Which word(s) correspond to the misceallonous entity in the sentence? ,Team Honourary Male Alberta,RT @HockeyAlberta : Team Alberta Male Honourary Captain Joe Colborne speaking to the players in attendance ! #CWG http://t.co/sGLxePDaSv Which word(s) correspond to the misceallonous entity in the sentence? Answer: Team Honourary Male Alberta,misceallonous entity,810107.jpg
"RT @BEAUTIFULPlCS : Manarola , #Italy . Photo by Lars Kehrel . http://t.co/AXQvIM6bze Which word(s) correspond to the location in the sentence? ",Manarola,"RT @BEAUTIFULPlCS : Manarola , #Italy . Photo by Lars Kehrel . http://t.co/AXQvIM6bze Which word(s) correspond to the location in the sentence? Answer: Manarola",location,555689.jpg
RT @MuggleNet : Wishing Dame Maggie Smith a very Happy Birthday today ! #HappyBirthdayMaggieSmith http://t.co/FtwZ97D52q Which word(s) correspond to the person in the sentence? ,Dame Smith Maggie,RT @MuggleNet : Wishing Dame Maggie Smith a very Happy Birthday today ! #HappyBirthdayMaggieSmith http://t.co/FtwZ97D52q Which word(s) correspond to the person in the sentence? Answer: Dame Smith Maggie,person,146252.jpg
"RT @OnlyHipHopFacts : When Kendrick said "" I can dig rappin ' But a rapper with a ghost writer ? What the fuck happened ? "" http://t.co/90eFvwuPzE Which word(s) correspond to the person in the sentence? ",Kendrick,"RT @OnlyHipHopFacts : When Kendrick said "" I can dig rappin ' But a rapper with a ghost writer ? What the fuck happened ? "" http://t.co/90eFvwuPzE Which word(s) correspond to the person in the sentence? Answer: Kendrick",person,62358.jpg
RT @LauraWhitehead0 : best episode of Catfish 🙌 http://t.co/inXof8m32w Which word(s) correspond to the misceallonous entity in the sentence? ,Catfish,RT @LauraWhitehead0 : best episode of Catfish 🙌 http://t.co/inXof8m32w Which word(s) correspond to the misceallonous entity in the sentence? Answer: Catfish,misceallonous entity,70048.jpg
ATTENTION : It seems as if incest has spread north to downtown Knoxville . Hide all small children and women #Bammers http://t.co/FMPuqFF4gM Which word(s) correspond to the location in the sentence? ,Knoxville,ATTENTION : It seems as if incest has spread north to downtown Knoxville . Hide all small children and women #Bammers http://t.co/FMPuqFF4gM Which word(s) correspond to the location in the sentence? Answer: Knoxville,location,62273.jpg
Rise and shine at Jerusalem City Hall http://t.co/0LAfaqBXws Which word(s) correspond to the location in the sentence? ,Jerusalem Hall City,Rise and shine at Jerusalem City Hall http://t.co/0LAfaqBXws Which word(s) correspond to the location in the sentence? Answer: Jerusalem Hall City,location,73702.jpg
"RT @WNTonight : Hillary Clinton says Joe Biden "" could be a good president . "" http://t.co/Ca7tAGvs2s http://t.co/YOqobQHwHy Which word(s) correspond to the person in the sentence? ",Hillary Clinton,"RT @WNTonight : Hillary Clinton says Joe Biden "" could be a good president . "" http://t.co/Ca7tAGvs2s http://t.co/YOqobQHwHy Which word(s) correspond to the person in the sentence? Answer: Hillary Clinton",person,1304513.jpg
CPS says Dyett High to reopen as arts-focused school ; hunger strikers not appeased http://t.co/Odv3Mased9 http://t.co/a1Thw5o9UD Which word(s) correspond to the organization in the sentence? ,CPS,CPS says Dyett High to reopen as arts-focused school ; hunger strikers not appeased http://t.co/Odv3Mased9 http://t.co/a1Thw5o9UD Which word(s) correspond to the organization in the sentence? Answer: CPS,organization,70417.jpg
"RT @ussoccer _ wnt : Its happening ! Ticker Tape Parade down The Canyon of Heroes in NY , Friday at 11am - More Info http://t.co/ejOTsWtDvp http… Which word(s) correspond to the location in the sentence? ",The Heroes of Canyon,"RT @ussoccer _ wnt : Its happening ! Ticker Tape Parade down The Canyon of Heroes in NY , Friday at 11am - More Info http://t.co/ejOTsWtDvp http… Which word(s) correspond to the location in the sentence? Answer: The Heroes of Canyon",location,73691.jpg
"RT @RembranceOfPast : An East German soldier helps a boy found on the opposite side of the Berlin Wall from his family , 1961 . http://t.co/8o… Which word(s) correspond to the location in the sentence? ",Berlin Wall,"RT @RembranceOfPast : An East German soldier helps a boy found on the opposite side of the Berlin Wall from his family , 1961 . http://t.co/8o… Which word(s) correspond to the location in the sentence? Answer: Berlin Wall",location,65347.jpg
RT @NATO : North Atlantic Council appoints @jensstoltenberg as #NATO SG as of October 1st 2014 http://t.co/JEuUWWiqSL http://t.co/2UTe4wxlvk Which word(s) correspond to the organization in the sentence? ,North Council Atlantic,RT @NATO : North Atlantic Council appoints @jensstoltenberg as #NATO SG as of October 1st 2014 http://t.co/JEuUWWiqSL http://t.co/2UTe4wxlvk Which word(s) correspond to the organization in the sentence? Answer: North Council Atlantic,organization,68397.jpg
"RT @OlivierAwards : ON THIS DAY in 1987 , Bob Fosse died . He won an incredible 8 @TheTonyAwards for his choreography . http://t.co/PK8irkwnB2 Which word(s) correspond to the person in the sentence? ",Bob Fosse,"RT @OlivierAwards : ON THIS DAY in 1987 , Bob Fosse died . He won an incredible 8 @TheTonyAwards for his choreography . http://t.co/PK8irkwnB2 Which word(s) correspond to the person in the sentence? Answer: Bob Fosse",person,1045634.jpg
RT @KTLA : #BREAKING : Car fire reported in Silver Lake ; Details on KTLA http://t.co/45F1usaxCr http://t.co/oUK9pjJBVc Which word(s) correspond to the location in the sentence? ,Silver Lake,RT @KTLA : #BREAKING : Car fire reported in Silver Lake ; Details on KTLA http://t.co/45F1usaxCr http://t.co/oUK9pjJBVc Which word(s) correspond to the location in the sentence? Answer: Silver Lake,location,1792882.jpg
RT @louisa _ compton : This is great from the BBC #valueformoney http://t.co/WjK04ijme6 Which word(s) correspond to the organization in the sentence? ,BBC,RT @louisa _ compton : This is great from the BBC #valueformoney http://t.co/WjK04ijme6 Which word(s) correspond to the organization in the sentence? Answer: BBC,organization,1413062.jpg
"2011 . One of fave #TCMFF s . Debbie Reynolds signed pass "" To Debbie # . "" Said the # sign meant "" too "" b/c of my name . http://t.co/dj1sR9coFj Which word(s) correspond to the person in the sentence? ",Debbie Reynolds,"2011 . One of fave #TCMFF s . Debbie Reynolds signed pass "" To Debbie # . "" Said the # sign meant "" too "" b/c of my name . http://t.co/dj1sR9coFj Which word(s) correspond to the person in the sentence? Answer: Debbie Reynolds",person,93460.jpg
One of our favourite videos this season . Wesley Sneijder leading his own Galatasaray chant . http://t.co/sTnIT2KnHn Which word(s) correspond to the person in the sentence? ,Wesley Sneijder,One of our favourite videos this season . Wesley Sneijder leading his own Galatasaray chant . http://t.co/sTnIT2KnHn Which word(s) correspond to the person in the sentence? Answer: Wesley Sneijder,person,407264.jpg
Get the new Poudre School District App for quick access to student &amp ; district info ! http://t.co/3uUnGqrmSR http://t.co/rvPCPvwmgb Which word(s) correspond to the misceallonous entity in the sentence? ,Poudre district App District School,Get the new Poudre School District App for quick access to student &amp ; district info ! http://t.co/3uUnGqrmSR http://t.co/rvPCPvwmgb Which word(s) correspond to the misceallonous entity in the sentence? Answer: Poudre district App District School,misceallonous entity,575711.jpg
Nokia Is Gearing Up fo . . . http://t.co/s844Sj1Jza #Marketing #Socialmedia #Mercadotecnia | https://t.co/cyAF0hSUes http://t.co/Yu2Ajme49r Which word(s) correspond to the organization in the sentence? ,Nokia,Nokia Is Gearing Up fo . . . http://t.co/s844Sj1Jza #Marketing #Socialmedia #Mercadotecnia | https://t.co/cyAF0hSUes http://t.co/Yu2Ajme49r Which word(s) correspond to the organization in the sentence? Answer: Nokia,organization,840854.jpg
RT @ThatBucketList : I need a holiday to Hawai http://t.co/QVrW2IrQ7C Which word(s) correspond to the location in the sentence? ,Hawai,RT @ThatBucketList : I need a holiday to Hawai http://t.co/QVrW2IrQ7C Which word(s) correspond to the location in the sentence? Answer: Hawai,location,495612.jpg
RT @iAmRealSmoove : Life of Kanye http://t.co/g4lawQau36 Which word(s) correspond to the person in the sentence? ,Kanye,RT @iAmRealSmoove : Life of Kanye http://t.co/g4lawQau36 Which word(s) correspond to the person in the sentence? Answer: Kanye,person,670554.jpg
Gloomy #Bali day http://t.co/6lL6eYcqih Which word(s) correspond to the location in the sentence? ,#Bali,Gloomy #Bali day http://t.co/6lL6eYcqih Which word(s) correspond to the location in the sentence? Answer: #Bali,location,425740.jpg
"RT @MarcMonster : Iggy straight up looks like Spongebob when he became "" Normal "" http://t.co/kZz5Q1mULI Which word(s) correspond to the person in the sentence? ",Iggy,"RT @MarcMonster : Iggy straight up looks like Spongebob when he became "" Normal "" http://t.co/kZz5Q1mULI Which word(s) correspond to the person in the sentence? Answer: Iggy",person,70920.jpg
Celebration in Las Vegas ! http://t.co/9JaVlqHOXs Which word(s) correspond to the location in the sentence? ,Las Vegas,Celebration in Las Vegas ! http://t.co/9JaVlqHOXs Which word(s) correspond to the location in the sentence? Answer: Las Vegas,location,70666.jpg
Flash Flood Warning for Suffolk and Nassau again . This will be in effect through 8 : 15pm . @PIX11News http://t.co/LKMwuBRLUg Which word(s) correspond to the misceallonous entity in the sentence? ,Flash Warning Flood,Flash Flood Warning for Suffolk and Nassau again . This will be in effect through 8 : 15pm . @PIX11News http://t.co/LKMwuBRLUg Which word(s) correspond to the misceallonous entity in the sentence? Answer: Flash Warning Flood,misceallonous entity,477288.jpg
"RT @irunshirtless : Ready to throw down this Sunday in Florianopolis , Brasil . #Ironman #thisisourlab @blueseventy http://t.co/qSntuDY5JG Which word(s) correspond to the location in the sentence? ",Florianopolis,"RT @irunshirtless : Ready to throw down this Sunday in Florianopolis , Brasil . #Ironman #thisisourlab @blueseventy http://t.co/qSntuDY5JG Which word(s) correspond to the location in the sentence? Answer: Florianopolis",location,1051340.jpg
