index,entities,answers,sentences,entity,corrected_answers,counter_entity
959,Rating,"['5 star restaurant', 'great', 'steack']",looking for a 5 star restaurant that serves a great steack,"['Rating', 'Rating', 'Dish']",5 star restaurant & great,RatingRatingRating
4001,Amenity,"['5 star restaurant', 'great', 'steack']",looking for a 5 star restaurant that serves a great steack,"['Rating', 'Rating', 'Dish']",,none
11606,Restaurant_Name,"['5 star restaurant', 'great', 'steack']",looking for a 5 star restaurant that serves a great steack,"['Rating', 'Rating', 'Dish']",,none
8564,Cuisine,"['5 star restaurant', 'great', 'steack']",looking for a 5 star restaurant that serves a great steack,"['Rating', 'Rating', 'Dish']",,none
2480,Dish,"['5 star restaurant', 'great', 'steack']",looking for a 5 star restaurant that serves a great steack,"['Rating', 'Rating', 'Dish']",steack,DishDishDish
10085,Hours,"['5 star restaurant', 'great', 'steack']",looking for a 5 star restaurant that serves a great steack,"['Rating', 'Rating', 'Dish']",,none
7043,Location,"['5 star restaurant', 'great', 'steack']",looking for a 5 star restaurant that serves a great steack,"['Rating', 'Rating', 'Dish']",,none
5522,Price,"['5 star restaurant', 'great', 'steack']",looking for a 5 star restaurant that serves a great steack,"['Rating', 'Rating', 'Dish']",,none
3063,Amenity,"['50s style', 'diners', 'glendale']",are there any 50s style diners in glendale,"['Amenity', 'Cuisine', 'Location']",50s style,AmenityAmenityAmenity
7626,Cuisine,"['50s style', 'diners', 'glendale']",are there any 50s style diners in glendale,"['Amenity', 'Cuisine', 'Location']",diners,CuisineCuisineCuisine
10668,Restaurant_Name,"['50s style', 'diners', 'glendale']",are there any 50s style diners in glendale,"['Amenity', 'Cuisine', 'Location']",,none
21,Rating,"['50s style', 'diners', 'glendale']",are there any 50s style diners in glendale,"['Amenity', 'Cuisine', 'Location']",,none
1542,Dish,"['50s style', 'diners', 'glendale']",are there any 50s style diners in glendale,"['Amenity', 'Cuisine', 'Location']",,none
6105,Location,"['50s style', 'diners', 'glendale']",are there any 50s style diners in glendale,"['Amenity', 'Cuisine', 'Location']",glendale,LocationLocationLocation
4584,Price,"['50s style', 'diners', 'glendale']",are there any 50s style diners in glendale,"['Amenity', 'Cuisine', 'Location']",,none
9147,Hours,"['50s style', 'diners', 'glendale']",are there any 50s style diners in glendale,"['Amenity', 'Cuisine', 'Location']",,none
585,Rating,"['6 pm', 'nearest', 'asian']",i need a reservation for 12 at 6 pm at the nearest asian restaurant,"['Hours', 'Location', 'Cuisine']",,none
3627,Amenity,"['6 pm', 'nearest', 'asian']",i need a reservation for 12 at 6 pm at the nearest asian restaurant,"['Hours', 'Location', 'Cuisine']",,none
9711,Hours,"['6 pm', 'nearest', 'asian']",i need a reservation for 12 at 6 pm at the nearest asian restaurant,"['Hours', 'Location', 'Cuisine']",6 pm,HoursHoursHours
6669,Location,"['6 pm', 'nearest', 'asian']",i need a reservation for 12 at 6 pm at the nearest asian restaurant,"['Hours', 'Location', 'Cuisine']",nearest,LocationLocationLocation
2106,Dish,"['6 pm', 'nearest', 'asian']",i need a reservation for 12 at 6 pm at the nearest asian restaurant,"['Hours', 'Location', 'Cuisine']",,none
11232,Restaurant_Name,"['6 pm', 'nearest', 'asian']",i need a reservation for 12 at 6 pm at the nearest asian restaurant,"['Hours', 'Location', 'Cuisine']",,none
8190,Cuisine,"['6 pm', 'nearest', 'asian']",i need a reservation for 12 at 6 pm at the nearest asian restaurant,"['Hours', 'Location', 'Cuisine']",asian,CuisineCuisineCuisine
5148,Price,"['6 pm', 'nearest', 'asian']",i need a reservation for 12 at 6 pm at the nearest asian restaurant,"['Hours', 'Location', 'Cuisine']",,none
11805,Restaurant_Name,['abc cafe'],what kind of food does abc cafe serve,['Restaurant_Name'],abc cafe,Restaurant_Name
10284,Hours,['abc cafe'],what kind of food does abc cafe serve,['Restaurant_Name'],,none
1158,Rating,['abc cafe'],what kind of food does abc cafe serve,['Restaurant_Name'],,none
5721,Price,['abc cafe'],what kind of food does abc cafe serve,['Restaurant_Name'],,none
8763,Cuisine,['abc cafe'],what kind of food does abc cafe serve,['Restaurant_Name'],,none
7242,Location,['abc cafe'],what kind of food does abc cafe serve,['Restaurant_Name'],,none
4200,Amenity,['abc cafe'],what kind of food does abc cafe serve,['Restaurant_Name'],,none
2679,Dish,['abc cafe'],what kind of food does abc cafe serve,['Restaurant_Name'],,none
9970,Hours,"['abington theatre district', 'after midnight']",is there a place to eat in the abington theatre district open after midnight,"['Location', 'Hours']",after midnight,HoursHours
5407,Price,"['abington theatre district', 'after midnight']",is there a place to eat in the abington theatre district open after midnight,"['Location', 'Hours']",,none
3886,Amenity,"['abington theatre district', 'after midnight']",is there a place to eat in the abington theatre district open after midnight,"['Location', 'Hours']",,none
11491,Restaurant_Name,"['abington theatre district', 'after midnight']",is there a place to eat in the abington theatre district open after midnight,"['Location', 'Hours']",,none
8449,Cuisine,"['abington theatre district', 'after midnight']",is there a place to eat in the abington theatre district open after midnight,"['Location', 'Hours']",,none
844,Rating,"['abington theatre district', 'after midnight']",is there a place to eat in the abington theatre district open after midnight,"['Location', 'Hours']",,none
2365,Dish,"['abington theatre district', 'after midnight']",is there a place to eat in the abington theatre district open after midnight,"['Location', 'Hours']",,none
6928,Location,"['abington theatre district', 'after midnight']",is there a place to eat in the abington theatre district open after midnight,"['Location', 'Hours']",abington theatre district,LocationLocation
3030,Dish,"['absolute best', 'sausage']",who makes the absolute best sausage,"['Rating', 'Dish']",sausage,DishDish
9114,Cuisine,"['absolute best', 'sausage']",who makes the absolute best sausage,"['Rating', 'Dish']",,none
6072,Price,"['absolute best', 'sausage']",who makes the absolute best sausage,"['Rating', 'Dish']",,none
1509,Rating,"['absolute best', 'sausage']",who makes the absolute best sausage,"['Rating', 'Dish']",absolute best,RatingRating
10635,Hours,"['absolute best', 'sausage']",who makes the absolute best sausage,"['Rating', 'Dish']",,none
4551,Amenity,"['absolute best', 'sausage']",who makes the absolute best sausage,"['Rating', 'Dish']",,none
7593,Location,"['absolute best', 'sausage']",who makes the absolute best sausage,"['Rating', 'Dish']",,none
12156,Restaurant_Name,"['absolute best', 'sausage']",who makes the absolute best sausage,"['Rating', 'Dish']",,none
6617,Location,"['accept reservations', 'within 10 miles']",how many restaurants that accept reservations are within 10 miles,"['Amenity', 'Location']",within 10 miles,LocationLocation
533,Rating,"['accept reservations', 'within 10 miles']",how many restaurants that accept reservations are within 10 miles,"['Amenity', 'Location']",,none
11180,Restaurant_Name,"['accept reservations', 'within 10 miles']",how many restaurants that accept reservations are within 10 miles,"['Amenity', 'Location']",,none
5096,Price,"['accept reservations', 'within 10 miles']",how many restaurants that accept reservations are within 10 miles,"['Amenity', 'Location']",,none
2054,Dish,"['accept reservations', 'within 10 miles']",how many restaurants that accept reservations are within 10 miles,"['Amenity', 'Location']",,none
8138,Cuisine,"['accept reservations', 'within 10 miles']",how many restaurants that accept reservations are within 10 miles,"['Amenity', 'Location']",,none
9659,Hours,"['accept reservations', 'within 10 miles']",how many restaurants that accept reservations are within 10 miles,"['Amenity', 'Location']",,none
3575,Amenity,"['accept reservations', 'within 10 miles']",how many restaurants that accept reservations are within 10 miles,"['Amenity', 'Location']",accept reservations,AmenityAmenity
7812,Cuisine,"['affordable', 'burmese']",can you tell me where an affordable burmese place is,"['Price', 'Cuisine']",burmese,CuisineCuisine
1728,Dish,"['affordable', 'burmese']",can you tell me where an affordable burmese place is,"['Price', 'Cuisine']",,none
10854,Restaurant_Name,"['affordable', 'burmese']",can you tell me where an affordable burmese place is,"['Price', 'Cuisine']",,none
4770,Price,"['affordable', 'burmese']",can you tell me where an affordable burmese place is,"['Price', 'Cuisine']",affordable,PricePrice
207,Rating,"['affordable', 'burmese']",can you tell me where an affordable burmese place is,"['Price', 'Cuisine']",,none
3249,Amenity,"['affordable', 'burmese']",can you tell me where an affordable burmese place is,"['Price', 'Cuisine']",,none
9333,Hours,"['affordable', 'burmese']",can you tell me where an affordable burmese place is,"['Price', 'Cuisine']",,none
6291,Location,"['affordable', 'burmese']",can you tell me where an affordable burmese place is,"['Price', 'Cuisine']",,none
11393,Restaurant_Name,"['affordable', 'sushi']",im looking for somewhere to get affordable sushi,"['Price', 'Dish']",,none
9872,Hours,"['affordable', 'sushi']",im looking for somewhere to get affordable sushi,"['Price', 'Dish']",,none
8351,Cuisine,"['affordable', 'sushi']",im looking for somewhere to get affordable sushi,"['Price', 'Dish']",,none
6830,Location,"['affordable', 'sushi']",im looking for somewhere to get affordable sushi,"['Price', 'Dish']",,none
2267,Dish,"['affordable', 'sushi']",im looking for somewhere to get affordable sushi,"['Price', 'Dish']",sushi,DishDish
5309,Price,"['affordable', 'sushi']",im looking for somewhere to get affordable sushi,"['Price', 'Dish']",affordable,PricePrice
3788,Amenity,"['affordable', 'sushi']",im looking for somewhere to get affordable sushi,"['Price', 'Dish']",,none
746,Rating,"['affordable', 'sushi']",im looking for somewhere to get affordable sushi,"['Price', 'Dish']",,none
5822,Price,"['african', 'cheap']",where can i eat african food for cheap,"['Cuisine', 'Price']",cheap,PricePrice
2780,Dish,"['african', 'cheap']",where can i eat african food for cheap,"['Cuisine', 'Price']",,none
10385,Hours,"['african', 'cheap']",where can i eat african food for cheap,"['Cuisine', 'Price']",,none
11906,Restaurant_Name,"['african', 'cheap']",where can i eat african food for cheap,"['Cuisine', 'Price']",,none
7343,Location,"['african', 'cheap']",where can i eat african food for cheap,"['Cuisine', 'Price']",,none
1259,Rating,"['african', 'cheap']",where can i eat african food for cheap,"['Cuisine', 'Price']",,none
8864,Cuisine,"['african', 'cheap']",where can i eat african food for cheap,"['Cuisine', 'Price']",african,CuisineCuisine
4301,Amenity,"['african', 'cheap']",where can i eat african food for cheap,"['Cuisine', 'Price']",,none
2442,Dish,['after 10 p m'],is there anywhere to eat after 10 p m,['Hours'],,none
11568,Restaurant_Name,['after 10 p m'],is there anywhere to eat after 10 p m,['Hours'],,none
3963,Amenity,['after 10 p m'],is there anywhere to eat after 10 p m,['Hours'],,none
8526,Cuisine,['after 10 p m'],is there anywhere to eat after 10 p m,['Hours'],,none
7005,Location,['after 10 p m'],is there anywhere to eat after 10 p m,['Hours'],,none
5484,Price,['after 10 p m'],is there anywhere to eat after 10 p m,['Hours'],,none
921,Rating,['after 10 p m'],is there anywhere to eat after 10 p m,['Hours'],,none
10047,Hours,['after 10 p m'],is there anywhere to eat after 10 p m,['Hours'],after 10 p m,Hours
3903,Amenity,['after 9 pm 7 days a week'],is there a restaurant in inman square that is after 9 pm 7 days a week,['Hours'],,none
2382,Dish,['after 9 pm 7 days a week'],is there a restaurant in inman square that is after 9 pm 7 days a week,['Hours'],,none
5424,Price,['after 9 pm 7 days a week'],is there a restaurant in inman square that is after 9 pm 7 days a week,['Hours'],,none
11508,Restaurant_Name,['after 9 pm 7 days a week'],is there a restaurant in inman square that is after 9 pm 7 days a week,['Hours'],,none
6945,Location,['after 9 pm 7 days a week'],is there a restaurant in inman square that is after 9 pm 7 days a week,['Hours'],,none
861,Rating,['after 9 pm 7 days a week'],is there a restaurant in inman square that is after 9 pm 7 days a week,['Hours'],,none
8466,Cuisine,['after 9 pm 7 days a week'],is there a restaurant in inman square that is after 9 pm 7 days a week,['Hours'],,none
9987,Hours,['after 9 pm 7 days a week'],is there a restaurant in inman square that is after 9 pm 7 days a week,['Hours'],after 9 pm 7 days a week,Hours
4189,Amenity,"['alans', 'oak street']",what is the phone number to alans on oak street,"['Restaurant_Name', 'Location']",,none
8752,Cuisine,"['alans', 'oak street']",what is the phone number to alans on oak street,"['Restaurant_Name', 'Location']",,none
2668,Dish,"['alans', 'oak street']",what is the phone number to alans on oak street,"['Restaurant_Name', 'Location']",,none
1147,Rating,"['alans', 'oak street']",what is the phone number to alans on oak street,"['Restaurant_Name', 'Location']",,none
5710,Price,"['alans', 'oak street']",what is the phone number to alans on oak street,"['Restaurant_Name', 'Location']",,none
10273,Hours,"['alans', 'oak street']",what is the phone number to alans on oak street,"['Restaurant_Name', 'Location']",,none
11794,Restaurant_Name,"['alans', 'oak street']",what is the phone number to alans on oak street,"['Restaurant_Name', 'Location']",alans,Restaurant_NameRestaurant_Name
7231,Location,"['alans', 'oak street']",what is the phone number to alans on oak street,"['Restaurant_Name', 'Location']",oak street,LocationLocation
8366,Cuisine,"['albertos deli', 'open until 11 pm']",is albertos deli open until 11 pm,"['Restaurant_Name', 'Hours']",,none
761,Rating,"['albertos deli', 'open until 11 pm']",is albertos deli open until 11 pm,"['Restaurant_Name', 'Hours']",,none
2282,Dish,"['albertos deli', 'open until 11 pm']",is albertos deli open until 11 pm,"['Restaurant_Name', 'Hours']",,none
3803,Amenity,"['albertos deli', 'open until 11 pm']",is albertos deli open until 11 pm,"['Restaurant_Name', 'Hours']",,none
11408,Restaurant_Name,"['albertos deli', 'open until 11 pm']",is albertos deli open until 11 pm,"['Restaurant_Name', 'Hours']",albertos deli,Restaurant_NameRestaurant_Name
5324,Price,"['albertos deli', 'open until 11 pm']",is albertos deli open until 11 pm,"['Restaurant_Name', 'Hours']",,none
9887,Hours,"['albertos deli', 'open until 11 pm']",is albertos deli open until 11 pm,"['Restaurant_Name', 'Hours']",open until 11 pm,HoursHours
6845,Location,"['albertos deli', 'open until 11 pm']",is albertos deli open until 11 pm,"['Restaurant_Name', 'Hours']",,none
2475,Dish,['alcohol'],locate bar with alcohol,['Dish'],alcohol,Dish
5517,Price,['alcohol'],locate bar with alcohol,['Dish'],,none
8559,Cuisine,['alcohol'],locate bar with alcohol,['Dish'],,none
10080,Hours,['alcohol'],locate bar with alcohol,['Dish'],,none
7038,Location,['alcohol'],locate bar with alcohol,['Dish'],,none
954,Rating,['alcohol'],locate bar with alcohol,['Dish'],,none
11601,Restaurant_Name,['alcohol'],locate bar with alcohol,['Dish'],,none
3996,Amenity,['alcohol'],locate bar with alcohol,['Dish'],,none
7116,Location,"['alcohol', 'within 5 miles']",please list restaurants that serve alcohol within 5 miles,"['Dish', 'Location']",within 5 miles,LocationLocation
10158,Hours,"['alcohol', 'within 5 miles']",please list restaurants that serve alcohol within 5 miles,"['Dish', 'Location']",,none
8637,Cuisine,"['alcohol', 'within 5 miles']",please list restaurants that serve alcohol within 5 miles,"['Dish', 'Location']",,none
2553,Dish,"['alcohol', 'within 5 miles']",please list restaurants that serve alcohol within 5 miles,"['Dish', 'Location']",alcohol,DishDish
1032,Rating,"['alcohol', 'within 5 miles']",please list restaurants that serve alcohol within 5 miles,"['Dish', 'Location']",,none
