f_score,recall,accuracy,model,precision,mets,prompt,img,shots,ent_met_person0_promptTrue,acc_met_person0_promptTrue,ent_met_person1_promptTrue,acc_met_person1_promptTrue,ent_met_person2_promptTrue,acc_met_person2_promptTrue,ent_met_person3_promptTrue,acc_met_person3_promptTrue,ent_met_person4_promptTrue,acc_met_person4_promptTrue,ent_met_person0_promptFalse,acc_met_person0_promptFalse,ent_met_person1_promptFalse,acc_met_person1_promptFalse,ent_met_person2_promptFalse,acc_met_person2_promptFalse,ent_met_person3_promptFalse,acc_met_person3_promptFalse,ent_met_person4_promptFalse,acc_met_person4_promptFalse,ent_met_misceallonous0_promptTrue,acc_met_misceallonous0_promptTrue,ent_met_misceallonous1_promptTrue,acc_met_misceallonous1_promptTrue,ent_met_misceallonous2_promptTrue,acc_met_misceallonous2_promptTrue,ent_met_misceallonous3_promptTrue,acc_met_misceallonous3_promptTrue,ent_met_misceallonous4_promptTrue,acc_met_misceallonous4_promptTrue,ent_met_misceallonous0_promptFalse,acc_met_misceallonous0_promptFalse,ent_met_misceallonous1_promptFalse,acc_met_misceallonous1_promptFalse,ent_met_misceallonous2_promptFalse,acc_met_misceallonous2_promptFalse,ent_met_misceallonous3_promptFalse,acc_met_misceallonous3_promptFalse,ent_met_misceallonous4_promptFalse,acc_met_misceallonous4_promptFalse,ent_met_organization0_promptTrue,acc_met_organization0_promptTrue,ent_met_organization1_promptTrue,acc_met_organization1_promptTrue,ent_met_organization2_promptTrue,acc_met_organization2_promptTrue,ent_met_organization3_promptTrue,acc_met_organization3_promptTrue,ent_met_organization4_promptTrue,acc_met_organization4_promptTrue,ent_met_organization0_promptFalse,acc_met_organization0_promptFalse,ent_met_organization1_promptFalse,acc_met_organization1_promptFalse,ent_met_organization2_promptFalse,acc_met_organization2_promptFalse,ent_met_organization3_promptFalse,acc_met_organization3_promptFalse,ent_met_organization4_promptFalse,acc_met_organization4_promptFalse,ent_met_location0_promptTrue,acc_met_location0_promptTrue,ent_met_location1_promptTrue,acc_met_location1_promptTrue,ent_met_location2_promptTrue,acc_met_location2_promptTrue,ent_met_location3_promptTrue,acc_met_location3_promptTrue,ent_met_location4_promptTrue,acc_met_location4_promptTrue,ent_met_location0_promptFalse,acc_met_location0_promptFalse,ent_met_location1_promptFalse,acc_met_location1_promptFalse,ent_met_location2_promptFalse,acc_met_location2_promptFalse,ent_met_location3_promptFalse,acc_met_location3_promptFalse,ent_met_location4_promptFalse,acc_met_location4_promptFalse,ent_met_none0_promptTrue,acc_met_none0_promptTrue,ent_met_none1_promptTrue,acc_met_none1_promptTrue,ent_met_none2_promptTrue,acc_met_none2_promptTrue,ent_met_none3_promptTrue,acc_met_none3_promptTrue,ent_met_none4_promptTrue,acc_met_none4_promptTrue,ent_met_none0_promptFalse,acc_met_none0_promptFalse,ent_met_none1_promptFalse,acc_met_none1_promptFalse,ent_met_none2_promptFalse,acc_met_none2_promptFalse,ent_met_none3_promptFalse,acc_met_none3_promptFalse,ent_met_none4_promptFalse,acc_met_none4_promptFalse,f_score0_promptFalse,f_score4_promptFalse,f_score2_promptFalse,f_score3_promptFalse,f_score1_promptFalse,f_score0_promptFalse,f_score0_promptTrue,f_score4_promptFalse,f_score4_promptTrue,f_score2_promptFalse,f_score2_promptTrue,f_score3_promptFalse,f_score3_promptTrue,f_score1_promptFalse,f_score1_promptTrue,f_score0_promptFalse,f_score0_promptTrue,f_score4_promptFalse,f_score4_promptTrue,f_score2_promptFalse,f_score2_promptTrue,f_score3_promptFalse,f_score3_promptTrue,f_score1_promptFalse,f_score1_promptTrue,f_score0_promptFalse,f_score4_promptFalse,f_score2_promptFalse,f_score3_promptFalse,f_score1_promptFalse
0,0,0.6402196774947417,bert-large-uncased-whole-word-masking-squad2,0,0-6158-10958-0,2_prompt,False,3,,,,,,,,,,,,,,,2217,0,,,,,,,,,,,,,,,,,,,932,0,,,,,,,,,,,,,,,,,,,923,0,,,,,,,,,,,,,,,,,,,2086,0,,,,,,,,,,,,,,,,,,,10958,10958,,,,,,,0,,,,,,,0,,,,,,,,,,0,,,,,,,,0,,
0.0022609819121447027,0.0011372867587327376,0.6390511801822856,bert-large-uncased-whole-word-masking-squad2,0.1891891891891892,7-6148-10931-30,2_prompt,False,2,,,,,,,,,,,,,,,2217,4,,,,,,,,,,,,,,,,,,,932,2,,,,,,,,,,,,,,,,,,,923,1,,,,,,,,,,,,,,,,,,,2086,0,,,,,,,,,,,,,,,,,,,10958,10931,,,,,,,0.0022609819121447027,,,,,,,0.0022609819121447027,,,,,,,,,,0.0022609819121447027,,,,,,,,0.0022609819121447027,,
0.000648403306856865,0.0003248862897985705,0.639810703435382,bert-large-uncased-whole-word-masking-squad2,0.15384615384615385,2-6154-10949-11,2_prompt,False,1,,,,,,,,,,,,,,,2217,1,,,,,,,,,,,,,,,,,,,932,1,,,,,,,,,,,,,,,,,,,923,0,,,,,,,,,,,,,,,,,,,2086,0,,,,,,,,,,,,,,,,,,,10958,10949,,,,,,,0.000648403306856865,,,,,,,0.000648403306856865,,,,,,,,,,0.000648403306856865,,,,,,,,0.000648403306856865,,
0.1254054054054054,0.22053231939163498,0.25092592592592594,bert-large-uncased-whole-word-masking-squad2,0.08761329305135952,58-205-213-604,3_prompt,False,0,,,,,,,,,,,,,,,,,157,34,,,,,,,,,,,,,,,,,,,54,7,,,,,,,,,,,,,,,,,,,72,14,,,,,,,,,,,,,,,,,,,123,3,,,,,,,,,,,,,,,,,,,674,213,,,,,,0.1254054054054054,,,,,,,,0.1254054054054054,,,,,,,,,,0.1254054054054054,,,,,,,0.1254054054054054,
0.0006480881399870382,0.0003248862897985705,0.6396354288385137,bert-large-uncased-whole-word-masking-squad2,0.125,2-6154-10946-14,3_prompt,False,5,,,,,,,,,,,,,,,,,2217,1,,,,,,,,,,,,,,,,,,,932,1,,,,,,,,,,,,,,,,,,,923,0,,,,,,,,,,,,,,,,,,,2086,0,,,,,,,,,,,,,,,,,,,10958,10946,,,,,,0.0006480881399870382,,,,,,,,0.0006480881399870382,,,,,,,,,,0.0006480881399870382,,,,,,,0.0006480881399870382,
0,0,0.6402196774947417,bert-large-uncased-whole-word-masking-squad2,0,0-6158-10958-0,3_prompt,False,4,,,,,,,,,,,,,,,,,2217,0,,,,,,,,,,,,,,,,,,,932,0,,,,,,,,,,,,,,,,,,,923,0,,,,,,,,,,,,,,,,,,,2086,0,,,,,,,,,,,,,,,,,,,10958,10958,,,,,,0,,,,,,,,0,,,,,,,,,,0,,,,,,,0,
0.00032441200324412003,0.00016241676140977748,0.6399275531666277,bert-large-uncased-whole-word-masking-squad2,0.125,1-6156-10952-7,3_prompt,False,3,,,,,,,,,,,,,,,,,2217,1,,,,,,,,,,,,,,,,,,,932,0,,,,,,,,,,,,,,,,,,,923,0,,,,,,,,,,,,,,,,,,,2086,0,,,,,,,,,,,,,,,,,,,10958,10952,,,,,,0.00032441200324412003,,,,,,,,0.00032441200324412003,,,,,,,,,,0.00032441200324412003,,,,,,,0.00032441200324412003,
0.000648403306856865,0.0003248862897985705,0.639810703435382,bert-large-uncased-whole-word-masking-squad2,0.15384615384615385,2-6154-10949-11,3_prompt,False,2,,,,,,,,,,,,,,,,,2217,1,,,,,,,,,,,,,,,,,,,932,1,,,,,,,,,,,,,,,,,,,923,0,,,,,,,,,,,,,,,,,,,2086,0,,,,,,,,,,,,,,,,,,,10958,10949,,,,,,0.000648403306856865,,,,,,,,0.000648403306856865,,,,,,,,,,0.000648403306856865,,,,,,,0.000648403306856865,
0.0012907389480477573,0.0006509357200976403,0.6383500817948119,bert-large-uncased-whole-word-masking-squad2,0.07547169811320754,4-6141-10922-49,3_prompt,False,1,,,,,,,,,,,,,,,,,2217,2,,,,,,,,,,,,,,,,,,,932,1,,,,,,,,,,,,,,,,,,,923,0,,,,,,,,,,,,,,,,,,,2086,1,,,,,,,,,,,,,,,,,,,10958,10922,,,,,,0.0012907389480477573,,,,,,,,0.0012907389480477573,,,,,,,,,,0.0012907389480477573,,,,,,,0.0012907389480477573,
0.1254054054054054,0.2196969696969697,0.25092592592592594,bert-large-uncased-whole-word-masking-squad2,0.08774583963691376,58-206-213-603,1_prompt,False,0,,,,,,,,,,,,,157,41,,,,,,,,,,,,,,,,,,,54,6,,,,,,,,,,,,,,,,,,,72,6,,,,,,,,,,,,,,,,,,,123,5,,,,,,,,,,,,,,,,,,,674,213,,,,,,,,,,,0.1254054054054054,,,,,,,,,0.1254054054054054,,,,,,,,,,0.1254054054054054,,,,,,0.1254054054054054
0,0,0.6402196774947417,bert-large-uncased-whole-word-masking-squad2,0,0-6158-10958-0,1_prompt,False,5,,,,,,,,,,,,,2217,0,,,,,,,,,,,,,,,,,,,932,0,,,,,,,,,,,,,,,,,,,923,0,,,,,,,,,,,,,,,,,,,2086,0,,,,,,,,,,,,,,,,,,,10958,10958,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,0,,,,,,0
0,0,0.6400444028978733,bert-large-uncased-whole-word-masking-squad2,0,0-6157-10955-4,1_prompt,False,4,,,,,,,,,,,,,2217,0,,,,,,,,,,,,,,,,,,,932,0,,,,,,,,,,,,,,,,,,,923,0,,,,,,,,,,,,,,,,,,,2086,0,,,,,,,,,,,,,,,,,,,10958,10955,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,0,,,,,,0
0,0,0.6402196774947417,bert-large-uncased-whole-word-masking-squad2,0,0-6158-10958-0,1_prompt,False,3,,,,,,,,,,,,,2217,0,,,,,,,,,,,,,,,,,,,932,0,,,,,,,,,,,,,,,,,,,923,0,,,,,,,,,,,,,,,,,,,2086,0,,,,,,,,,,,,,,,,,,,10958,10958,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,0,,,,,,0
0.000324517280545189,0.00016239038648911984,0.6400444028978733,bert-large-uncased-whole-word-masking-squad2,0.2,1-6157-10954-4,1_prompt,False,2,,,,,,,,,,,,,2217,1,,,,,,,,,,,,,,,,,,,932,0,,,,,,,,,,,,,,,,,,,923,0,,,,,,,,,,,,,,,,,,,2086,0,,,,,,,,,,,,,,,,,,,10958,10954,,,,,,,,,,,0.000324517280545189,,,,,,,,,0.000324517280545189,,,,,,,,,,0.000324517280545189,,,,,,0.000324517280545189
0.00032462262619704593,0.00016241676140977748,0.6401612526291189,bert-large-uncased-whole-word-masking-squad2,0.25,1-6156-10956-3,1_prompt,False,1,,,,,,,,,,,,,2217,0,,,,,,,,,,,,,,,,,,,932,1,,,,,,,,,,,,,,,,,,,923,0,,,,,,,,,,,,,,,,,,,2086,0,,,,,,,,,,,,,,,,,,,10958,10956,,,,,,,,,,,0.00032462262619704593,,,,,,,,,0.00032462262619704593,,,,,,,,,,0.00032462262619704593,,,,,,0.00032462262619704593
