,False_0,False_1,False_2,False_3,False_4,True_0,True_1,True_2,True_3,True_4,prompt
blip2-flan-t5-xl,0.5415282392026578,0.611731843575419,0.5702702702702703,0.6132596685082873,0.5767790262172285,0.5655608214849921,0.6174142480211082,0.617948717948718,0.6065162907268171,0.6248366013071895,5
bert-large-uncased-whole-word-masking-squad2,0.09405940594059406,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
bert-large-uncased-whole-word-masking-squad2,0.12364425162689806,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
bert-large-uncased-whole-word-masking-squad2,0.1038374717832957,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
bert-large-uncased-whole-word-masking-squad2,0.1254054054054054,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
bert-large-uncased-whole-word-masking-squad2,0.17436974789915968,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
flan-t5-xl,0.5660377358490566,0.5330396475770924,0.5103305785123967,0.5698447893569845,0.5430752453653217,NA,NA,NA,NA,NA,1
flan-t5-xl,0.6558823529411765,0.6357039187227865,0.5724465558194775,0.6372413793103447,0.583732057416268,NA,NA,NA,NA,NA,2
flan-t5-xl,0.6562091503267975,0.6165413533834586,0.6216216216216216,0.5802047781569966,0.5671641791044776,NA,NA,NA,NA,NA,3
flan-t5-xl,0.6299019607843137,0.5828571428571427,0.5879682179341656,0.5766590389016019,0.5954922894424672,NA,NA,NA,NA,NA,4
flan-t5-xl,0.6463768115942029,0.6281208935611039,0.6071428571428572,0.5731707317073171,0.6044678055190538,NA,NA,NA,NA,NA,5
llama-7b-hf,0.36561085972850677,0.18294849023090584,0.32263242375601925,0.33224755700325737,0.34824281150159747,NA,NA,NA,NA,NA,1
llama-7b-hf,0.19142857142857142,0.2201834862385321,0.2734463276836158,0.32401315789473684,0.236727589208007,NA,NA,NA,NA,NA,2
llama-7b-hf,0.1678726483357453,0.3360142984807864,0.2523809523809524,0.22784810126582275,0.36517328825021134,NA,NA,NA,NA,NA,3
llama-7b-hf,0.34050179211469533,0.23231441048034931,0.3295454545454546,0.25925925925925924,0.37966640190627476,NA,NA,NA,NA,NA,4
llama-7b-hf,0.3592592592592593,0.3580146460537022,0.39633027522935776,0.4264049955396967,0.3579638752052545,NA,NA,NA,NA,NA,5
opt-6.7b,0.00963855421686747,0.21731448763250882,0.16432865731462926,0.2279202279202279,0.2530973451327434,NA,NA,NA,NA,NA,1
opt-6.7b,0.004842615012106538,0.1586998087954111,0.16881827209533265,0.11904761904761904,0.2082139446036294,NA,NA,NA,NA,NA,2
opt-6.7b,0,0.15165876777251183,0.1269191402251791,0.17200365965233302,0.2486678507992895,NA,NA,NA,NA,NA,3
opt-6.7b,0.004866180048661801,0.15931108719052745,0.05842696629213483,0.23047619047619045,0.21240601503759401,NA,NA,NA,NA,NA,4
opt-6.7b,0.004830917874396135,0.21374045801526717,0.24821428571428572,0.23684210526315788,0.22393822393822393,NA,NA,NA,NA,NA,5
flamingo,0,0,0,0,NA,0,0,0,0,NA,1
flamingo,0,0,0,0,NA,0,0,0,0,NA,2
flamingo,0,0,0,0,NA,0,0,0,0,NA,3
flamingo,0,0,0,0,NA,0,0,0,0,NA,4
flamingo,0,0,0,0,NA,0,0,0,0,NA,5
flan-t5-xxl,0.4592274678111588,0.4059701492537313,0.4435564435564435,0.4113924050632911,0.4357429718875502,NA,NA,NA,NA,NA,1
flan-t5-xxl,0.6683804627249358,0.610576923076923,0.624401913875598,0.5795574288724973,0.5450980392156863,NA,NA,NA,NA,NA,2
flan-t5-xxl,0.6395348837209301,0.5786026200873362,0.5697091273821465,0.5546875,0.551257253384913,NA,NA,NA,NA,NA,3
flan-t5-xxl,0.6195652173913044,0.5720207253886012,0.5991379310344829,0.5589155370177268,0.6062717770034842,NA,NA,NA,NA,NA,4
flan-t5-xxl,0.6361386138613863,0.6228710462287105,0.5657458563535912,0.6093189964157706,0.5866666666666667,NA,NA,NA,NA,NA,5
blip2-opt-2.7b,0.03264094955489614,0.2081850533807829,0.21939275220372184,0.15889029003783103,0.19334719334719336,0.02912621359223301,0.17613636363636365,0.1725490196078431,0.060240963855421686,0.11255411255411255,1
blip2-opt-2.7b,0.011412268188302424,0.19646365422396853,0.08009708737864077,0.12028301886792453,0.19135802469135801,0.019746121297602257,0.12323232323232321,0.05533596837944664,0.1207897793263647,0.194884287454324,2
blip2-opt-2.7b,0.003179650238473768,0.19151036525172754,0.15869311551925322,0.22703818369453047,0.22882882882882882,0.008849557522123892,0.1405295315682281,0.05405405405405406,0.18083961248654468,0.09112709832134291,3
blip2-opt-2.7b,0.06349206349206349,0.20147874306839186,0.05066666666666667,0.12154696132596683,0.13987473903966596,0.053208137715179966,0.19327731092436973,0.028205128205128206,0.2087912087912088,0.07204968944099378,4
blip2-opt-2.7b,0.0653061224489796,0.06075949367088608,0.08997429305912596,0.125,0.25774225774225773,0.06470588235294118,0.135706340378198,0.0807061790668348,0.1825813221406086,0.2512873326467559,5
longformer-base-4096-finetuned-squadv2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
longformer-base-4096-finetuned-squadv2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
longformer-base-4096-finetuned-squadv2,0.008639308855291577,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
longformer-base-4096-finetuned-squadv2,0.019639934533551555,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
longformer-base-4096-finetuned-squadv2,0.025270758122743684,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
blip2-opt-6.7b,0.004878048780487805,0.21612046058458814,0.22715627668659266,0.21272727272727274,0.27092320966350303,0.008830022075055186,0.19558359621451105,0.22201492537313436,0.24312333629103816,0.2224299065420561,1
blip2-opt-6.7b,0,0.08071748878923767,0.16745956232159848,0.1473899692937564,0.24156305506216694,0.004618937644341801,0.19114688128772636,0.190127970749543,0.16108786610878661,0.19924812030075187,2
blip2-opt-6.7b,NA,NA,NA,NA,NA,0.004807692307692308,0.1463917525773196,0.12030075187969924,0.22305529522024367,0.2207670720299345,3
blip2-opt-6.7b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
blip2-opt-6.7b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
fromage,0.01171875,0.17828773168578993,0.1829826166514181,0.10854503464203236,0.24579831932773108,0.015873015873015872,0.13555787278415019,0.042363433667781496,0.1413562559694365,0.15924170616113745,1
fromage,0.004484304932735426,0.11214953271028037,0.11346153846153845,0.10317460317460317,0.13345864661654136,0.01,0.0768409818569904,0.07942973523421588,0.14119922630560927,0.08219178082191782,2
fromage,0,0.07035175879396985,0.15004935834155972,0.08122941822173435,0.10568295114656032,0.007339449541284404,0.11016949152542373,0.05430932703659977,0.12097560975609757,0.17407757805108798,3
fromage,0.004705882352941176,0.15693430656934307,0.2393013100436681,0.2336244541484716,0.24363636363636362,0.0202020202020202,0.13141683778234087,0.15879017013232513,0.10322580645161289,0.15028901734104047,4
fromage,0.024948024948024946,0.19833178869323448,0.14918414918414918,0.13184584178498987,0.20081135902636918,0.05291005291005291,0.1026694045174538,0.1344860710854947,0.1858736059479554,0.1835032437442076,5
